Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
2020-09-17,TM,133.8000030517578,135.4199981689453,133.55999755859375,135.0,132400,0.724,134.3139196659846,133.2345755022822,130.7764619961773,129.30447639255237,0.970001220703125,0.0,0.6157150268554688,0.5128577096121651,1.200557221458339,54.556964470240565,61.203985045363005,30.65420294195242,0.7824200332224182,0.658700306013611,0.5232960481009055,True,0.0,,1,-129.510009765625,,
2020-09-18,TM,134.47999572753906,135.30999755859375,134.25,134.25,128000,-0.556,134.2819598329923,133.43766040182578,130.9126791727978,129.35368558267623,0.0,0.75,0.5900006975446429,0.5664291381835938,1.0416143128452708,51.01915216266473,54.556964470240565,30.65420294195242,0.8519914820976251,0.8172057576600211,0.6473704737044493,True,0.0,,1,-129.510009765625,,
2020-09-21,TM,132.3000030517578,132.3000030517578,130.2100067138672,131.22000122070312,306300,-2.257,132.7509805268477,132.99412856560127,130.9247310178137,129.37225588753222,0.0,3.029998779296875,0.5900006975446429,0.6764286586216518,0.87222900748599,46.58773066747909,54.556964470240565,30.65420294195242,0.666597778113205,0.7592946301054146,0.7089974680595134,True,0.0,,1,-129.510009765625,,
2020-09-22,TM,131.41000366210938,132.3000030517578,131.1699981689453,132.25,144600,0.785,132.50049026342384,132.84530285248104,130.97670235044848,129.40089015730803,1.029998779296875,0.0,0.6635720389229911,0.6671436854771206,0.9946463608486752,49.86579979147164,54.556964470240565,31.055888847819702,0.8003851077227551,0.7334914429179795,0.775348600289001,True,0.0,,1,-129.510009765625,,
2020-09-23,TM,134.52000427246094,135.16000366210938,133.19000244140625,133.2899932861328,199100,0.786,132.89524177477833,132.9342409392114,131.06741964204394,129.43958770087843,1.0399932861328125,0.0,0.7221429007393974,0.6671436854771206,1.082439834865473,51.97940496251596,54.556964470240565,31.055888847819702,0.8903216367992313,0.8453533722609927,0.8023240011832042,True,0.0,,1,-129.510009765625,,
2020-09-24,TM,131.3800048828125,132.69000244140625,130.91000366210938,131.85000610351562,199500,-1.08,132.372623939147,132.71739397207224,131.0981093071997,129.46357196359125,0.0,1.4399871826171875,0.7221429007393974,0.5864279610770089,1.2314264473561938,55.185616752691736,55.185616752691736,33.35619881448589,1.0,0.9451608183996152,0.839326130658798,True,0.0,,1,-129.510009765625,,
2020-09-25,TM,132.60000610351562,133.1199951171875,132.0,132.97000122070312,189300,0.849,132.67131257992506,132.76791542179842,131.17151683321944,129.4984618069456,1.1199951171875,0.0,0.5721424647739956,0.5864279610770089,0.9756398104265404,49.383486062467014,55.185616752691736,33.35619881448589,0.7342058910297451,0.8671029455148721,0.856228158887933,True,0.0,,1,-129.510009765625,,
2020-09-28,TM,135.0399932861328,136.30999755859375,135.0399932861328,136.00999450683594,219000,2.286,134.34065354338048,133.41633123880592,131.3612610557142,129.5632531770938,3.0399932861328125,0.0,0.7892848423549107,0.44785635811941965,1.7623615876956025,63.799091166981775,63.799091166981775,35.21738793914619,1.0,0.8671029455148721,0.9061318819572441,True,132.97000122070312,Sell,0,3.459991455078125,,
2020-09-29,TM,135.07000732421875,135.75,134.19000244140625,134.25,136500,-1.294,134.29532677169024,133.58306499104475,131.47454493588228,129.60988747383914,0.0,1.7599945068359375,0.7892848423549107,0.5664280482700893,1.393442370598422,58.21917367703429,63.799091166981775,35.6566314695899,0.8017260200442037,0.9008630100221013,0.8839829777684873,True,0.0,,0,3.459991455078125,,
2020-09-30,TM,132.64999389648438,133.25999450683594,132.1199951171875,132.44000244140625,155900,-1.348,133.36766460654826,133.35445248111705,131.51240601453028,129.63804782177513,0.0,1.80999755859375,0.7892848423549107,0.6278555733816964,1.257112106377808,55.695598939266226,63.799091166981775,41.431510366620145,0.6377126207772753,0.719719320410739,0.7934111329628062,True,0.0,,0,3.459991455078125,,
2020-10-01,TM,132.6300048828125,132.8300018310547,132.02000427246094,132.42999267578125,130800,-0.008,132.89882864116476,133.16956052004988,131.54838980516757,129.66582836758613,0.0,0.010009765625,0.7064274379185268,0.628570556640625,1.123863392033514,52.91599244325502,63.799091166981775,46.58773066747909,0.3676793462061748,0.5026959834917246,0.7017794967569136,True,0.0,,0,3.459991455078125,,
2020-10-02,TM,130.97999572753906,132.1300048828125,130.8800048828125,131.72999572753906,98800,-0.529,132.3144121843519,132.88164756154774,131.5555116060449,129.68636734629212,0.0,0.6999969482421875,0.5328554425920758,0.6785703386579242,0.7852619135194693,43.9858100132435,63.799091166981775,43.9858100132435,0.0,0.18383967310308696,0.45177949675691365,True,0.0,,0,3.459991455078125,,
2020-10-05,TM,131.47999572753906,132.17999267578125,131.25,132.10000610351562,236200,0.281,132.20720914393377,132.72531926994134,131.5768643314359,129.71038365233414,0.3700103759765625,0.0,0.5407137189592633,0.6785703386579242,0.7968425499244286,44.346821036597895,63.799091166981775,43.9858100132435,0.01822065818140776,0.009110329090703436,0.2559031562912147,True,0.0,,0,3.459991455078125,,
